acousticness,danceability,energy,instrumentalness,key,loudness,mode,speechiness,valence,target
0.0626,0.858,0.717,0.243,0,-8.734,1,0.0995,0.593,1
0.0581,0.748,0.586,0,1,-2.554,1,0.0512,0.162,1
0.0415,0.941,0.685,0,10,-5.24,1,0.0752,0.695,1
0.426,0.872,0.541,0.000789,5,-5.911,1,0.103,0.653,1
0.0398,0.674,0.501,0.000123,2,-12.907,0,0.0579,0.567,1
0.136,0.906,0.444,6.44E-05,4,-8.692,0,0.384,0.68,1
0.00791,0.45,0.449,0,2,-12.037,1,0.156,0.137,1
0.164,0.824,0.513,0,8,-9.591,1,0.208,0.568,1
0.00324,0.746,0.613,0.672,7,-10.104,1,0.0475,0.627,1
0.145,0.844,0.688,0.00351,4,-8.594,0,0.291,0.747,1
0.0938,0.874,0.704,0,9,-6.27,1,0.102,0.444,1
0.152,0.726,0.834,0.683,10,-5.564,1,0.0565,0.574,1
0.0247,0.834,0.732,0,1,-5.121,1,0.138,0.308,1
0.0715,0.869,0.712,0,9,-6.136,1,0.103,0.458,1
0.0246,0.841,0.733,0,1,-5.077,1,0.142,0.291,1
0.193,0.598,0.252,0.138,2,-15.086,1,0.0647,0.0359,1
0.315,0.794,0.82,0,11,-5.214,1,0.152,0.821,1
0.0208,0.869,0.687,1.00E-06,1,-6.816,1,0.263,0.668,1
0.268,0.651,0.773,0,6,-6.855,0,0.262,0.418,1
0.0159,0.588,0.596,0,1,-4.994,1,0.0556,0.0602,1
0.444,0.654,0.794,0,1,-4.307,1,0.322,0.464,1
0.0339,0.422,0.851,0,11,-4.031,1,0.0398,0.667,1
0.000891,0.806,0.772,0.864,6,-14.369,1,0.0856,0.436,1
0.000294,0.827,0.462,0.543,8,-10.673,1,0.0623,0.341,1
0.00909,0.694,0.716,0.000814,7,-7.468,1,0.0513,0.896,1
0.35,0.794,0.801,0,0,-6.433,1,0.271,0.73,1
0.619,0.722,0.28,0.0786,10,-13.483,0,0.0583,0.466,1
0.0377,0.575,0.691,0.563,5,-7.595,0,0.0301,0.718,1
0.00692,0.564,0.846,0.00175,4,-5.897,0,0.0437,0.695,1
0.00593,0.609,0.641,0.585,8,-5.309,1,0.0266,0.0844,1
0.785,0.6,0.413,0.0289,7,-9.572,1,0.0258,0.0768,1
0.455,0.847,0.654,0.0622,5,-6.443,0,0.113,0.624,1
0.858,0.741,0.449,0.000522,5,-6.621,1,0.0583,0.444,1
0.783,0.596,0.639,0.569,0,-6.546,1,0.03,0.197,1
0.029,0.674,0.832,5.56E-06,9,-3.593,1,0.0616,0.807,1
0.00392,0.683,0.692,0.000441,9,-7.189,0,0.0396,0.593,1
0.074,0.523,0.722,0.00336,6,-6.533,1,0.0307,0.496,1
0.0552,0.373,0.63,0,7,-5.131,1,0.0461,0.357,1
